n,t_us,dec,bin,hex,volts
0,567,3555,110111100011,0xDE3,2.864835
1,2513,3218,110010010010,0xC92,2.593260
2,5014,2602,101000101010,0xA2A,2.096850
3,7514,1896,011101101000,0x768,1.527912
4,10010,1217,010011000001,0x4C1,0.980733
5,12514,662,001010010110,0x296,0.533480
6,15014,314,000100111010,0x13A,0.253040
7,17508,229,000011100101,0x0E5,0.184542
8,20012,409,000110011001,0x199,0.329597
9,22510,843,001101001011,0x34B,0.679341
10,25007,1460,010110110100,0x5B4,1.176557
11,27511,2167,100001110111,0x877,1.746300
12,30013,2846,101100011110,0xB1E,2.293480
13,34253,3651,111001000011,0xE43,2.942198
14,35249,3754,111010101010,0xEAA,3.025202
15,37510,3832,111011111000,0xEF8,3.088058
16,40008,3653,111001000101,0xE45,2.943809
17,42512,3216,110010010000,0xC90,2.591648
18,45009,2607,101000101111,0xA2F,2.100879
19,47510,1902,011101101110,0x76E,1.532747
20,50007,1208,010010111000,0x4B8,0.973480
21,52508,662,001010010110,0x296,0.533480
22,55008,314,000100111010,0x13A,0.253040
23,57506,233,000011101001,0x0E9,0.187766
24,60008,413,000110011101,0x19D,0.332821
25,63196,996,001111100100,0x3E4,0.802637
26,65010,1463,010110110111,0x5B7,1.178974
27,67514,2163,100001110011,0x873,1.743077
28,70009,2843,101100011011,0xB1B,2.291062
29,72508,3397,110101000101,0xD45,2.737509
30,75011,3753,111010101001,0xEA9,3.024395
31,77513,3835,111011111011,0xEFB,3.090476
32,80013,3650,111001000010,0xE42,2.941392
33,82512,3220,110010010100,0xC94,2.594872
34,85013,2604,101000101100,0xA2C,2.098462
35,87511,1902,011101101110,0x76E,1.532747
36,90014,1219,010011000011,0x4C3,0.982344
37,92511,664,001010011000,0x298,0.535092
38,95010,312,000100111000,0x138,0.251429
39,97509,227,000011100011,0x0E3,0.182930
